Date,Close_lstm,High_lstm,Low_lstm,Open_lstm,Volume_lstm
2025-07-12,209.02724,210.24152,211.01347,211.3975,46066004.0
2025-07-13,209.26854,210.83441,210.91925,210.07332,50625732.0
2025-07-14,209.65294,210.38304,211.8531,209.61676,48300810.0
2025-07-15,209.22815,210.89426,211.5747,209.29642,49438708.0
2025-07-16,208.8195,211.00162,212.15555,209.34535,42787548.0
2025-07-17,209.40671,211.2151,212.31943,209.22047,56503892.0
2025-07-18,208.84656,210.89655,213.62325,210.88249,53343750.0
