Date,Close,High,Low,Open,Volume
,AAPL,AAPL,AAPL,AAPL,AAPL
2010-01-04,6.431896209716797,6.446622696457914,6.382907969735801,6.414464784362005,493729600
2010-01-05,6.44301700592041,6.479382603086922,6.409055397550002,6.449629078593121,601904800
2010-01-06,6.340532302856445,6.468563265152154,6.333920230167296,6.443017021938052,552160000
2010-01-07,6.328810214996338,6.371487735528592,6.282827460801755,6.363974016902019,477131200
2010-01-08,6.370885848999023,6.371487347719221,6.283128429648899,6.320394866701701,447610800
2010-01-11,6.314686298370361,6.401542487317202,6.264796003925148,6.3955315117776035,462229600
2010-01-12,6.242855548858643,6.304467241714201,6.203785414119402,6.287035012483797,594459600
2010-01-13,6.330913066864014,6.339328430410686,6.134058886077559,6.24736333765982,605892000
2010-01-14,6.294246673583984,6.325202784995313,6.281924579512755,6.3146839829247385,432894000
2010-01-15,6.189059734344482,6.359467290977269,6.1872564415610585,6.33933052156237,594067600
2010-01-19,6.462852954864502,6.467361186604379,6.228430923391844,6.261189536901425,730007600
2010-01-20,6.36337423324585,6.478180660190747,6.296353057285399,6.458945939014963,612152800
2010-01-21,6.253372669219971,6.410856965843315,6.2275262855298275,6.373890682370194,608154400
2010-01-22,5.943217754364014,6.236246075140108,5.9254861739269975,6.21460735947226,881767600
2010-01-25,6.103103160858154,6.152090996706975,6.0165471366169285,6.086272833957545,1065699600
2010-01-26,6.189358711242676,6.422879850921394,6.088376748617638,6.189659259963583,1867110000
2010-01-27,6.247664928436279,6.328810688068745,5.996711924017105,6.2167088066475396,1722568400
2010-01-28,5.989499092102051,6.176135862114551,5.971767517537085,6.159005385078344,1173502400
2010-01-29,5.772206783294678,6.076956368260788,5.7178086679858025,6.043295713665976,1245952400
2010-02-01,5.852452278137207,5.890621170065594,5.749366455813066,5.781524372235652,749876400
2010-02-02,5.886411190032959,5.900236428300985,5.8118771291816484,5.887914334589528,698342400
2010-02-03,5.98769474029541,6.016847564016379,5.843134020335327,5.865674772409622,615328000
2010-02-04,5.77190637588501,5.961848345925049,5.757480037765541,5.912559159883469,757652000
2010-02-05,5.874391555786133,5.8906211897059055,5.735841780049266,5.7893386596958125,850306800
2010-02-08,5.834118843078613,5.947122767994307,5.830512257998319,5.881304195345732,478270800
2010-02-09,5.8963303565979,5.935701034079736,5.853052144592458,5.903242575708974,632886800
2010-02-10,5.864173889160156,5.908654711263722,5.838327494329845,5.887315344731461,370361600
2010-02-11,5.970865726470947,6.003324593151563,5.83231595027397,5.8569605487450405,550345600
2010-02-12,6.0222601890563965,6.060128541416984,5.875595561187916,5.954036804277574,655468800
2010-02-16,6.113022327423096,6.1217378404670475,6.056520362588575,6.06914300963386,543737600
2010-02-17,6.087473392486572,6.14036834395487,6.036681077535449,6.136761760554801,436396800
2010-02-18,6.098897457122803,6.127749742073157,6.038488349156013,6.059826512470548,422825200
